t_s,t_min,phase,altitude_m,fuel_mass_kg,ullage_volume_m3,tank_pressure_Pa,tank_temperature_K,o2_fraction,inert_flow_mol_s,fuel_burn_kg_s
4102.0,68.36666666666666,cruise,10688.0,8937.699999998507,6.827875000001866,23766.613346278424,220.20023573358532,0.1176300940857359,0.005583141469138351,0.6
4103.0,68.38333333333334,cruise,10688.0,8937.099999998507,6.828625000001866,23766.613346278424,220.198544360548,0.11763084530256437,0.005582748153703734,0.6
4104.0,68.4,cruise,10688.0,8936.499999998507,6.829375000001868,23766.613346278424,220.19685486681405,0.11763159643143521,0.005582355263602743,0.6
4105.0,68.41666666666667,cruise,10688.0,8935.899999998506,6.830125000001868,23766.613346278424,220.19516725029536,0.11763234747221067,0.005581962798489567,0.6
4106.0,68.43333333333334,cruise,10688.0,8935.299999998506,6.830875000001868,23766.613346278424,220.19348150890613,0.11763309842475321,0.005581570758018255,0.6
4107.0,68.45,cruise,10688.0,8934.699999998506,6.831625000001868,23766.613346278424,220.1917976405629,0.11763384928892548,0.005581179141843135,0.6
4108.0,68.46666666666667,cruise,10688.0,8934.099999998505,6.832375000001868,23766.613346278424,220.1901156431845,0.11763460006459024,0.005580787949618814,0.6
4109.0,68.48333333333333,cruise,10688.0,8933.499999998505,6.8331250000018695,23766.613346278424,220.18843551469206,0.11763535075161051,0.005580397181000011,0.6
4110.0,68.5,cruise,10688.0,8932.899999998504,6.8338750000018695,23766.613346278424,220.18675725300906,0.1176361013498493,0.005580006835641834,0.6
4111.0,68.51666666666667,cruise,10688.0,8932.299999998504,6.83462500000187,23766.613346278424,220.18508085606126,0.11763685185916985,0.005579616913199284,0.6
4112.0,68.53333333333333,cruise,10688.0,8931.699999998504,6.83537500000187,23766.613346278424,220.18340632177674,0.11763760227943554,0.005579227413327724,0.6
4113.0,68.55,cruise,10688.0,8931.099999998503,6.836125000001871,23766.613346278424,220.18173364808587,0.11763835261051005,0.005578838335682656,0.6
4114.0,68.56666666666666,cruise,10688.0,8930.499999998503,6.836875000001871,23766.613346278424,220.18006283292132,0.11763910285225698,0.005578449679920081,0.6
4115.0,68.58333333333333,cruise,10688.0,8929.899999998503,6.8376250000018715,23766.613346278424,220.17839387421807,0.11763985300454022,0.0055780614456957586,0.6
4116.0,68.6,cruise,10688.0,8929.299999998502,6.8383750000018715,23766.613346278424,220.1767267699134,0.11764060306722378,0.005577673632665861,0.6
4117.0,68.61666666666666,cruise,10688.0,8928.699999998502,6.839125000001873,23766.613346278424,220.17506151794683,0.1176413530401719,0.0055772862404867615,0.6
4118.0,68.63333333333334,cruise,10688.0,8928.099999998502,6.839875000001873,23766.613346278424,220.17339811626022,0.11764210292324881,0.0055768992688151366,0.6
4119.0,68.65,cruise,10688.0,8927.499999998501,6.840625000001873,23766.613346278424,220.17173656279772,0.11764285271631905,0.005576512717307558,0.6
4120.0,68.66666666666667,cruise,10688.0,8926.8999999985,6.841375000001873,23766.613346278424,220.17007685550573,0.11764360241924725,0.005576126585621099,0.6
4121.0,68.68333333333334,cruise,10688.0,8926.2999999985,6.842125000001875,23766.613346278424,220.16841899233293,0.11764435203189821,0.00557574087341289,0.6
4122.0,68.7,cruise,10688.0,8925.6999999985,6.842875000001875,23766.613346278424,220.16676297123033,0.11764510155413685,0.005575355580340339,0.6
4123.0,68.71666666666667,cruise,10688.0,8925.0999999985,6.843625000001875,23766.613346278424,220.16510879015118,0.11764585098582828,0.00557497070606092,0.6
4124.0,68.73333333333333,cruise,10688.0,8924.4999999985,6.844375000001875,23766.613346278424,220.163456447051,0.11764660032683773,0.005574586250232437,0.6
4125.0,68.75,cruise,10688.0,8923.899999998499,6.845125000001877,23766.613346278424,220.1618059398876,0.11764734957703066,0.00557420221251281,0.6
4126.0,68.76666666666667,cruise,10688.0,8923.299999998499,6.845875000001877,23766.613346278424,220.16015726662107,0.11764809873627259,0.005573818592560294,0.6
4127.0,68.78333333333333,cruise,10688.0,8922.699999998498,6.846625000001877,23766.613346278424,220.1585104252137,0.11764884780442922,0.005573435390033179,0.6
4128.0,68.8,cruise,10688.0,8922.099999998498,6.847375000001877,23766.613346278424,220.15686541363013,0.11764959678136644,0.005573052604589977,0.6
4129.0,68.81666666666666,cruise,10688.0,8921.499999998498,6.848125000001879,23766.613346278424,220.1552222298372,0.11765034566695029,0.005572670235889511,0.6
4130.0,68.83333333333333,cruise,10688.0,8920.899999998497,6.848875000001879,23766.613346278424,220.15358087180405,0.1176510944610469,0.005572288283590772,0.6
4131.0,68.85,cruise,10688.0,8920.299999998497,6.849625000001879,23766.613346278424,220.15194133750205,0.1176518431635226,0.0055719067473528425,0.6
4132.0,68.86666666666666,cruise,10688.0,8919.699999998496,6.850375000001879,23766.613346278424,220.15030362490484,0.1176525917742439,0.005571525626835057,0.6
4133.0,68.88333333333334,cruise,10688.0,8919.099999998496,6.851125000001879,23766.613346278424,220.14866773198827,0.11765334029307746,0.005571144921697056,0.6
4134.0,68.9,cruise,10688.0,8918.499999998496,6.851875000001881,23766.613346278424,220.1470336567305,0.11765408871989001,0.005570764631598625,0.6
4135.0,68.91666666666667,cruise,10688.0,8917.899999998495,6.852625000001881,23766.613346278424,220.14540139711193,0.11765483705454852,0.005570384756199642,0.6
4136.0,68.93333333333334,cruise,10688.0,8917.299999998495,6.853375000001881,23766.613346278424,220.14377095111513,0.11765558529692006,0.00557000529516029,0.6
4137.0,68.95,cruise,10688.0,8916.699999998495,6.854125000001881,23766.613346278424,220.142142316725,0.11765633344687193,0.005569626248140922,0.6
4138.0,68.96666666666667,cruise,10688.0,8916.099999998494,6.854875000001883,23766.613346278424,220.14051549192862,0.1176570815042715,0.0055692476148021496,0.6
4139.0,68.98333333333333,cruise,10688.0,8915.499999998494,6.855625000001883,23766.613346278424,220.13889047471537,0.11765782946898631,0.0055688693948047,0.6
4140.0,69.0,cruise,10688.0,8914.899999998494,6.856375000001883,23766.613346278424,220.1372672630768,0.11765857734088406,0.005568491587809523,0.6
4141.0,69.01666666666667,cruise,10688.0,8914.299999998493,6.857125000001883,23766.613346278424,220.13564585500671,0.11765932511983264,0.005568114193477719,0.6
4142.0,69.03333333333333,cruise,10688.0,8913.699999998493,6.857875000001885,23766.613346278424,220.13402624850116,0.11766007280570008,0.005567737211470747,0.6
4143.0,69.05,cruise,10688.0,8913.099999998492,6.858625000001885,23766.613346278424,220.13240844155837,0.1176608203983545,0.00556736064145019,0.6
4144.0,69.06666666666666,cruise,10688.0,8912.499999998492,6.859375000001885,23766.613346278424,220.13079243217885,0.11766156789766426,0.005566984483077717,0.6
4145.0,69.08333333333333,cruise,10688.0,8911.899999998492,6.860125000001885,23766.613346278424,220.12917821836533,0.11766231530349776,0.005566608736015359,0.6
4146.0,69.1,cruise,10688.0,8911.299999998491,6.8608750000018865,23766.613346278424,220.1275657981227,0.11766306261572372,0.005566233399925159,0.6
4147.0,69.11666666666666,cruise,10688.0,8910.699999998491,6.861625000001887,23766.613346278424,220.1259551694581,0.11766380983421085,0.005565858474469663,0.6
4148.0,69.13333333333334,cruise,10688.0,8910.09999999849,6.862375000001887,23766.613346278424,220.12434633038094,0.1176645569588281,0.005565483959311286,0.6
4149.0,69.15,cruise,10688.0,8909.49999999849,6.863125000001887,23766.613346278424,220.12273927890274,0.11766530398944455,0.005565109854112861,0.6
4150.0,69.16666666666667,cruise,10688.0,8908.89999999849,6.863875000001888,23766.613346278424,220.1211340130373,0.11766605092592947,0.005564736158537314,0.6
4151.0,69.18333333333334,cruise,10688.0,8908.29999999849,6.8646250000018885,23766.613346278424,220.1195305308006,0.11766679776815217,0.005564362872247885,0.6
4152.0,69.2,cruise,10688.0,8907.69999999849,6.8653750000018885,23766.613346278424,220.11792883021081,0.11766754451598226,0.005563989994907814,0.6
4153.0,69.21666666666667,cruise,10688.0,8907.099999998489,6.8661250000018885,23766.613346278424,220.11632890928837,0.11766829116928938,0.005563617526180772,0.6
4154.0,69.23333333333333,cruise,10688.0,8906.499999998488,6.86687500000189,23766.613346278424,220.11473076605583,0.1176690377279434,0.005563245465730456,0.6
4155.0,69.25,cruise,10688.0,8905.899999998488,6.86762500000189,23766.613346278424,220.113134398538,0.1176697841918143,0.005562873813220855,0.6
4156.0,69.26666666666667,cruise,10688.0,8905.299999998488,6.86837500000189,23766.613346278424,220.11153980476183,0.11767053056077224,0.005562502568316098,0.6
4157.0,69.28333333333333,cruise,10688.0,8904.699999998487,6.86912500000189,23766.613346278424,220.10994698275655,0.11767127683468753,0.005562131730680601,0.6
4158.0,69.3,cruise,10688.0,8904.099999998487,6.86987500000189,23766.613346278424,220.1083559305535,0.11767202301343063,0.005561761299978929,0.6
4159.0,69.31666666666666,cruise,10688.0,8903.499999998487,6.870625000001892,23766.613346278424,220.10676664618623,0.11767276909687208,0.005561391275875873,0.6
4160.0,69.33333333333333,cruise,10688.0,8902.899999998486,6.871375000001892,23766.613346278424,220.10517912769046,0.1176735150848827,0.00556102165803626,0.6
4161.0,69.35,cruise,10688.0,8902.299999998486,6.872125000001892,23766.613346278424,220.10359337310413,0.11767426097733337,0.005560652446125421,0.6
4162.0,69.36666666666666,cruise,10688.0,8901.699999998486,6.872875000001892,23766.613346278424,220.10200938046734,0.11767500677409518,0.0055602836398086185,0.6
